Dose,Geography Type,School Year,Population Size,Percent Surveyed,Footnotes,Number of Exemptions,Survey Type,Vax,State,Perc,SUMLEV,REGION,DIVISION,STATE,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,NPOPCHG_2020,NPOPCHG_2021,NPOPCHG_2022,NPOPCHG_2023,NPOPCHG_2024,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024,Population,state_postal,total_area_rank,total_area_sq_mi,total_area_km2,land_area_rank,land_area_km2,percent_land,water_area_rank,water_area_sq_mi,water_area_km2,percent_water,Area
,States,2023-24,5630.0,100.0,*,,Census,MMR,Vermont,92.9,40,1,1,50,643082,642977,647210,648142,648708,-105,4233,932,566,-215,1303,5153,5401,5100,5039,1552,6439,7178,6857,6762,-249,-1286,-1777,-1757,-1723,21,415,1929,1649,2024,-68,4871,1095,773,-511,-47,5286,3024,2422,1513,191,233,-315,-99,-5,7.987989338,8.3390460662,7.8652118595,7.7690350223,9.981498806,11.082701845,10.574854455,10.425523878,-1.993509468,-2.743655779,-2.709642596,-2.656488856,0.6433175966,2.9783410224,2.5430851679,3.1205649703,7.5508434049,1.6906601449,1.1921193662,-0.787850148,8.1941610015,4.6690011673,3.7352045341,2.3327148221,648493,VT,45,9616.36,24906,43,23871,0.9584,46,399.71,1035,0.0416,9216.66
,States,2023-24,569680.0,100.0,*. ‡,,Census,MMR,California,96.2,40,4,9,6,39555674,39521958,39142565,39142414,39198693,-33716,-379393,-151,56279,232570,103133,412507,424071,410377,400601,74572,345285,318719,303733,290135,28561,67222,105352,106644,110466,1372,44127,234953,292721,361057,-67219,-477586,-336707,-344029,-239575,-65847,-433459,-101754,-51308,121482,3570,-13156,-3749,943,622,10.487751893,10.834032414,10.476670951,10.189526241,8.7786714222,8.1425326818,7.7541156011,7.3797574044,1.7090804707,2.691499732,2.7225553502,2.8097688367,1.1219034532,6.0025052827,7.4729860532,9.1837009295,-12.14234783,-8.602084443,-8.782847554,-6.093733538,-11.02044437,-2.599579161,-1.309861501,3.0899673911,39431263,CA,3,163694.74,423967,3,403466,0.9516,6,7915.52,20501,0.0484,155779.22
,States,2023-24,34178.0,37.1,†. ‡. §,,Stratified 1-stage cluster sample,MMR,Kansas,90.4,40,2,4,20,2937745,2938172,2938338,2937324,2951500,427,166,-1014,14176,19106,8510,34168,34399,34698,33963,6966,32753,33207,30190,28731,1544,1415,1192,4508,5232,134,2072,6062,15340,18530,-1882,-4854,-7128,-5358,-4701,-1748,-2782,-1066,9982,13829,631,1533,-1140,-314,45,11.628670759,11.708978495,11.784356265,11.469906145,11.147092407,11.30323698,10.253320527,9.7029671539,0.4815783518,0.4057415147,1.5310357382,1.766938991,0.7051804557,2.0634270658,5.2098687276,6.2579089263,-1.652000933,-2.426279796,-1.819718164,-1.587610894,-0.946820477,-0.36285273,3.3901505632,4.6702980325,2970606,KS,15,82278.36,213100,13,211754,0.9937,42,519.64,1346,0.0063,81758.72
,States,2023-24,63224.0,100.0,>=. *. ‡,,Census,MMR,Maryland,96.6,40,3,5,24,6181629,6177935,6179403,6192440,6217062,-3694,1468,13037,24622,46158,17156,67431,69084,67587,65609,16945,59001,57638,53835,54005,211,8430,11446,13752,11604,505,9038,47782,43758,53100,-5487,-17763,-45928,-32748,-18509,-4982,-8725,1854,11010,34591,1077,1763,-263,-140,-37,10.913515516,11.167939975,10.892781999,10.514025244,9.5491439985,9.3176093489,8.6764158626,8.6544518786,1.3643715176,1.8503306258,2.2163661362,1.8595733654,1.4627745879,7.7243139927,7.0523377973,8.5094231044,-2.874891016,-7.424601169,-5.277891087,-2.966118875,-1.412116428,0.2997128237,1.7744467103,5.5433042298,6263220,MD,42,12405.93,32131,42,25142,0.7825,18,2698.69,6990,0.2175,9707.24
,States,2023-24,51839.0,100.0,*,,Census,MMR,Louisiana,92.4,40,3,7,22,4657874,4652301,4627971,4593687,4588071,-5573,-24330,-34284,-5616,9669,13555,57028,56482,56594,53787,14800,56843,56802,50209,49828,-1245,185,-320,6385,3959,193,3186,13341,19250,23142,-5044,-27819,-47984,-31236,-17405,-4851,-24633,-34643,-11986,5737,523,118,679,-15,-27,12.290157013,12.249857889,12.327486741,11.710887585,12.250287492,12.319259725,10.936685545,10.848905992,0.0398695211,-0.069401836,1.3908011952,0.8619815931,0.686617806,2.8934059363,4.1930967904,5.0386405729,-5.995298414,-10.40680537,-6.803925784,-3.789540194,-5.308680608,-7.513399434,-2.610828994,1.2491003788,4597740,LA,31,52378.13,135659,33,111898,0.8248,5,9174.23,23761,0.1752,43203.9
,States,2023-24,69014.0,100.0,*,,Census,MMR,Missouri,90.4,40,2,4,29,6154854,6154744,6171374,6179414,6208038,-110,16630,8040,28624,37428,17239,68821,68942,68424,67589,16737,75335,75622,68514,66068,502,-6514,-6680,-90,1521,270,3856,11763,19460,23569,-1059,17206,4160,9638,12289,-789,21062,15923,29098,35858,177,2082,-1203,-384,49,11.166694981,11.163984031,11.047308195,10.854615697,12.223637645,12.245696388,11.061839029,10.610347096,-1.056942664,-1.081712357,-0.014530833,0.244268601,0.6256633273,1.9048177331,3.1418890665,3.7851194331,2.7917954379,0.6736412284,1.5560907925,1.9735810901,3.4174587652,2.5784589615,4.697979859,5.7587005232,6245466,MO,21,69706.99,180540,18,178040,0.9861,32,965.47,2501,0.0139,68741.52
,States,2023-24,381421.0,92.4,‡. §,,"Census (pub.), vol. response (prv.)",MMR,Texas,94.3,40,3,7,48,29149458,29239570,29570351,30113488,30727890,90112,330781,543137,614402,562941,88268,364918,384352,390966,388115,55696,270489,261155,232364,229362,32572,94429,123197,158602,158753,1955,43476,193143,262618,319569,53751,195564,222154,190994,85267,55706,239040,415297,453612,404836,1834,-2688,4643,2188,-648,12.410082986,12.879600456,12.851977153,12.516059465,9.1987540674,8.7512802251,7.6383542792,7.3965407961,3.2113289185,4.1283202309,5.2136228736,5.1195186692,1.4785260467,6.4722043098,8.6328748175,10.305565637,6.6507145963,7.4443602731,6.2784245288,2.7497181053,8.1292406429,13.916564583,14.911299346,13.055283742,31290831,TX,2,268596.46,695662,2,676587,0.9726,8,7364.75,19075,0.0274,261231.71
,States,2023-24,61662.0,100.0,*,,Census,MMR,Colorado,88.3,40,4,8,8,5775324,5787129,5814036,5850935,5901339,11805,26907,36899,50404,56154,15593,62138,62659,62309,62497,11905,46475,49577,45275,45203,3688,15663,13082,17034,17294,240,3911,18507,27177,33227,7365,5817,6227,6341,5422,7605,9728,24734,33518,38649,512,1516,-917,-148,211,10.712372421,10.743104291,10.603735073,10.540161122,8.0121263683,8.5001497218,7.7048918363,7.62351638,2.7002460529,2.2429545689,2.8988432366,2.9166447421,0.6742426299,3.1730897574,4.6249772597,5.603755918,1.0028303192,1.0676408883,1.0791103067,0.91442395,1.6770729491,4.2407306456,5.7040875664,6.518179868,5957493,CO,8,104093.67,269601,8,268431,0.9957,44,451.78,1170,0.0043,103641.89
,States,2023-24,37535.0,95.4,,,"Census (pub.), vol. response (prv.)",MMR,Arkansas,92.5,40,3,7,5,3011553,3014546,3026870,3047704,3069463,2993,12324,20834,21759,18891,8509,34928,36115,35298,35161,8466,40117,40295,36414,35888,43,-5189,-4180,-1116,-727,95,1347,6177,4966,6152,2601,15880,18873,17821,13465,2696,17227,25050,22787,19617,254,286,-36,88,1,11.562852153,11.89054574,11.540636376,11.419956131,13.280661355,13.266773933,11.905511162,11.656078769,-1.717809202,-1.376228193,-0.364874786,-0.236122639,0.4459219494,2.0337228586,1.6236274079,1.9981106941,5.2570456992,6.2137690643,5.8265533702,4.3733030715,5.7029676486,8.2474919229,7.4501807781,6.3714137656,3088354,AR,29,53178.55,137732,27,134771,0.9785,31,1143.07,2961,0.0215,52035.48
,States,2023-24,13995.0,8.2,,,Stratified 2-stage cluster sample,MMR,Hawaii,89.8,40,4,9,15,1455252,1451252,1447029,1440359,1441387,-4000,-4223,-6670,1028,4759,3836,15528,15730,15254,14682,2837,12169,13440,12913,12411,999,3359,2290,2341,2271,119,2047,6833,9843,11893,-4736,-9831,-15833,-11033,-9321,-4617,-7784,-9000,-1190,2572,-382,202,40,-123,-84,10.715317114,10.895660715,10.586637407,10.16923443,8.3973914193,9.309452003,8.9619279423,8.5962653933,2.3179256946,1.5862087118,1.6247094643,1.5729690362,1.4125614459,4.7329974357,6.8312752061,8.2374816149,-6.784021287,-10.96700547,-7.6571634,-6.456030113,-5.371459841,-6.234008038,-0.825888194,1.781451502,1446146,HI,43,10931.72,28313,47,16635,0.5875,13,4509.09,11678,0.4125,6422.63
,States,2023-24,52609.0,100.0,>=. *. ‡. §,,Census,MMR,Kentucky,90.0,40,3,6,21,4506302,4508318,4507583,4519233,4550595,2016,-735,11650,31362,37777,12579,51363,52300,52506,52248,12784,58350,61278,54405,53140,-205,-6987,-8978,-1899,-892,119,1755,11149,26161,31430,1047,2704,10439,7297,7294,1166,4459,21588,33458,38724,1055,1793,-960,-197,-55,11.393869564,11.587696038,11.578168847,11.434115037,12.943797852,13.576880264,11.996919897,11.629323095,-1.549928288,-1.989184226,-0.41875105,-0.195208058,0.3893121719,2.4701954709,5.7687973796,6.8782390833,0.5998291241,2.3128864042,1.6090713076,1.5962416759,0.989141296,4.7830818752,7.3778686873,8.4744807591,4588372,KY,37,40407.8,104656,37,102269,0.9772,34,921.46,2387,0.0228,39486.34
,States,2023-24,36105.0,100.0,>=. *,,Census,MMR,Mississippi,97.5,40,3,6,28,2961278,2958536,2947209,2941939,2943172,-2742,-11327,-5270,1233,-127,8503,35004,34925,35064,33859,9649,41641,40616,35781,35843,-1146,-6637,-5691,-717,-1984,58,632,6869,5620,6789,-2054,-5802,-5877,-3481,-4939,-1996,-5170,992,2139,1850,400,480,-571,-189,7,11.854219916,11.86079888,11.916172864,11.504502807,14.101861831,13.793506293,12.159838616,12.178619986,-2.247641915,-1.932707414,-0.243665752,-0.674117179,0.214028882,2.3327652829,1.9099045031,2.3067447225,-1.964866414,-1.995874446,-1.182985334,-1.678157635,-1.750837532,0.3368908372,0.7269191694,0.6285870874,2943045,MS,32,48431.78,125438,31,121531,0.9689,25,1508.51,3907,0.0311,46923.27
,States,2023-24,62028.0,98.2,‡. §,,Census,MMR,Wisconsin,84.8,40,2,3,55,5894170,5897375,5881608,5903975,5930405,3205,-15767,22367,26430,30570,15554,60035,60782,60148,59445,14164,61984,63549,58788,57405,1390,-1949,-2767,1360,2040,214,3189,19693,18247,22146,42,-18603,7502,7685,6332,256,-15414,27195,25932,28478,1559,1596,-2061,-862,52,10.193579531,10.314636111,10.164960057,9.9979985502,10.524507931,10.784192857,9.9351212315,9.654892872,-0.3309284,-0.469556746,0.2298388255,0.3431056782,0.5414728929,3.3418796508,3.0837272422,3.7247148775,-3.158676772,1.273080848,1.2987583633,1.064973115,-2.617203879,4.6149604988,4.3824856055,4.7896879925,5960975,WI,23,65496.38,169635,25,140268,0.8269,4,11338.57,29367,0.1731,54157.8
,States,2023-24,200894.0,98.8,,,Census,MMR,New York,97.7,40,1,2,36,20203772,20105171,19848276,19703747,19737367,-98601,-256895,-144529,33620,129881,53056,205414,209913,205888,205289,72834,177162,176582,166424,161588,-19778,28252,33331,39464,43701,1339,28775,111670,170450,207161,-72672,-300058,-295669,-176893,-120917,-71333,-271283,-183999,-6443,86244,-7490,-13864,6139,599,-64,10.282667225,10.614526595,10.440273061,10.366923148,8.8684212904,8.9291007947,8.4391125464,8.1600591244,1.4142459348,1.6854257998,2.0011605149,2.2068640233,1.4404264043,5.6467402439,8.643264995,10.461457585,-15.0203811,-14.95089139,-8.969979905,-6.106207572,-13.57995469,-9.304151143,-0.32671491,4.3552500132,19867248,NY,27,54554.98,141297,30,122057,0.8638,7,7428.58,19240,0.1362,47126.4
,States,2023-24,54565.0,100.0,>=. *,,Census,MMR,Alabama,93.8,40,3,6,1,5025369,5033094,5049196,5076181,5117673,7725,16102,26985,41492,40026,13867,57184,58103,58528,57541,15146,69134,67246,60059,59273,-1279,-11950,-9143,-1531,-1732,133,1804,8155,12995,15763,9757,25175,28226,29946,26028,9890,26979,36381,42941,41791,-886,1073,-253,82,-33,11.343454711,11.476708472,11.4829975,11.199789166,13.713947923,13.28266592,11.783374571,11.536905914,-2.370493211,-1.805957447,-0.30037707,-0.337116749,0.3578552095,1.6108042199,2.5495754599,3.0681127652,4.9939051545,5.575298579,5.8753048651,5.0660939575,5.351760364,7.1861027989,8.4248803249,8.1342067226,5157699,AL,30,52420.07,135767,28,131171,0.9661,23,1774.74,4597,0.0339,50645.33
,States,2023-24,36184.0,100.0,*,,Census,MMR,Connecticut,97.7,40,1,1,9,3607701,3579918,3606607,3617925,3643023,-27783,26689,11318,25098,32046,8465,33942,35637,35115,34609,11949,34586,34874,32977,32778,-3484,-644,763,2138,1831,408,6215,22355,29968,36214,-20684,19406,-10406,-6462,-6060,-20276,25621,11949,23506,30154,-4023,1712,-1394,-546,61,9.4460118068,9.8655525368,9.6722907257,9.4584763351,9.625236119,9.6543277821,9.0833869076,8.958072678,-0.179224312,0.2112247548,0.5889038181,0.5004036571,1.7296259319,6.1886361636,8.2545695135,9.897115259,5.4006630465,-2.880740233,-1.779932868,-1.656169395,7.1302889783,3.3078959301,6.4746366452,8.240945864,3675069,CT,48,5543.41,14357,48,12542,0.8735,38,701.06,1816,0.1265,4842.36
,States,2023-24,22376.0,100.0,*,,Census,MMR,Idaho,79.6,40,4,8,16,1839140,1849415,1904848,1944299,1971122,10275,55433,39451,26823,30497,5467,21850,22384,22334,22830,3623,17115,18941,16798,16635,1844,4735,3443,5536,6195,58,698,6955,6419,7899,8891,51978,28368,14730,16383,8949,52676,35323,21149,24282,-518,-1978,685,138,20,11.640100867,11.630628812,11.408224045,11.493324131,9.1176350724,9.8416610226,8.5804310699,8.374570605,2.5224657942,1.7889677895,2.8277929755,3.1187535256,0.3718439545,3.6137876782,3.2788300415,3.9765995317,27.690121869,14.739889123,7.5240951101,8.2477060548,28.061965824,18.353676802,10.802925152,12.224305586,2001619,ID,14,83568.95,216443,11,214045,0.9889,33,925.83,2398,0.0111,82643.12
,States,2023-24,9674.0,97.8,,,Census,MMR,North Dakota,91.0,40,2,4,38,779046,779563,777966,781057,789047,517,-1597,3091,7990,7521,2563,10021,9800,9721,9592,1745,7758,7334,6907,6867,818,2263,2466,2814,2725,30,453,3287,4269,5126,-438,-3966,-2667,912,-291,-408,-3513,620,5181,4835,107,-347,5,-5,-39,12.867818192,12.571976167,12.382619241,12.098775554,9.9619332931,9.40845645,8.7981433077,8.661623408,2.9058848985,3.1635197172,3.5844759328,3.437152146,0.5816906138,4.2167434348,5.4378563458,6.4656300552,-5.092682062,-3.421373514,1.1617064857,-0.367050009,-4.510991449,0.7953699208,6.5995628315,6.0985800462,796568,ND,19,70698.32,183108,17,178711,0.976,24,1697.52,4397,0.024,69000.8
,States,2023-24,105408.0,100.0,>=. §. *,,Census,MMR,New Jersey,93.2,40,1,2,34,9289014,9272794,9270541,9295227,9379642,-16220,-2253,24686,84415,121209,24722,98005,102676,102459,101199,33991,84007,82754,77131,75189,-9269,13998,19922,25328,26010,901,14743,72909,107943,130692,-9110,-32628,-66769,-48148,-35554,-8209,-17885,6140,59795,95138,1258,1634,-1376,-708,61,10.570374747,11.060786712,10.972928378,10.719953128,9.0606139618,8.9146864272,8.2604060034,7.9647284634,1.5097607847,2.1461002852,2.7125223743,2.7552246649,1.5901131053,7.8541324011,11.560241734,13.844130024,-3.519108078,-7.192700027,-5.156448487,-3.766215215,-1.928994973,0.6614323738,6.4037932475,10.077914809,9500851,NJ,47,8722.58,22591,46,19047,0.8431,27,1368.36,3544,0.1569,7354.22
,States,2023-24,18261.0,82.8,‡. §,,Vol. response,MMR,West Virginia,98.3,40,3,5,54,1793736,1791646,1785618,1774122,1770495,-2090,-6028,-11496,-3627,-516,4296,17056,17028,16895,16680,5861,27577,29906,25911,24524,-1565,-10521,-12878,-9016,-7844,36,727,1673,2320,2841,-793,2984,289,3296,4520,-757,3711,1962,5616,7361,232,782,-580,-227,-33,9.5357792995,9.5669908476,9.5327647529,9.4224671612,15.417928339,16.802350733,14.619915212,13.85351227,-5.882149039,-7.235359886,-5.087150459,-4.431045109,0.4064558836,0.9399562889,1.3090271812,1.6048698564,1.6683141082,0.1623714091,1.8597213747,2.5533304298,2.0747699918,1.1023276981,3.1687485559,4.1582002862,1769979,WV,41,24230.04,62756,41,62259,0.9921,50,191.83,497,0.0079,24038.21
,States,2023-24,136943.0,100.0,>=. *,,Census,MMR,Georgia,88.4,40,3,5,13,10713755,10732888,10792060,10931805,11064432,19133,59172,139745,132627,116446,29847,121274,125616,126127,125502,24783,109479,110352,98278,97250,5064,11795,15264,27849,28252,731,10157,44634,51941,63088,11925,36384,79891,52290,25321,12656,46541,124525,104231,88409,1413,836,-44,547,-215,11.268226989,11.564792913,11.468052467,11.283457052,10.172289383,10.159518115,8.9358920801,8.7434160279,1.0959376069,1.405274798,2.5321603873,2.5400410244,0.9437421173,4.1092135308,4.7227168902,5.6720270475,3.3806353446,7.3551368506,4.7544495906,2.2765248046,4.3243774619,11.464350381,9.4771664808,7.9485518521,11180878,GA,24,59425.15,153910,21,148959,0.9678,22,1911.66,4951,0.0322,57513.49
,States,2023-24,133578.0,100.0,*,,Census,MMR,Illinois,91.6,40,2,3,17,12821814,12799088,12700641,12621821,12642259,-22726,-98447,-78820,20438,67899,33452,131890,129795,127001,125355,35280,128378,127015,116911,114343,-1828,3512,2780,10090,11012,508,11421,60951,92822,112955,-22335,-114221,-143390,-81875,-56235,-21827,-102800,-82439,10947,56720,929,841,839,-599,167,10.34442366,10.251372872,10.053878867,9.8889979602,10.068969753,10.031804964,9.2551163549,9.0202839437,0.2754539078,0.2195679077,0.7987625118,0.8687140165,0.8957742257,4.8139868864,7.3481401262,8.9107874803,-8.958605011,-11.32512313,-6.481534257,-4.436263414,-8.062830785,-6.511136239,0.8666058689,4.4745240661,12710158,IL,25,57913.55,149995,24,143793,0.9587,19,2394.62,6202,0.0413,55518.93
,States,2023-24,11871.0,100.0,>=. §. *,,Census,MMR,New Hampshire,89.2,40,1,1,33,1377546,1378756,1387677,1396678,1402199,1210,8921,9001,5521,6833,2994,12044,12283,12093,11777,3502,13728,14714,14322,14140,-508,-1684,-2431,-2229,-2363,88,1542,1538,3480,4290,1272,8528,10011,4470,4889,1360,10070,11549,7950,9179,358,535,-117,-200,17,8.7072414188,8.8228692103,8.6413229306,8.378535951,9.9246936398,10.569054593,10.234104607,10.059650025,-1.217452221,-1.746185382,-1.592781676,-1.681114074,1.1147929482,1.1047441867,2.4867116347,3.0520437488,6.1653399884,7.1908934026,3.1941382204,3.4781915823,7.2801329365,8.2956375893,5.6808498551,6.5302353311,1409032,NH,46,9349.16,24214,44,23187,0.9576,47,396.51,1027,0.0424,8952.65
,States,2023-24,125964.0,90.8,§. ‡,,"Census (pub.), vol. response (prv.)",MMR,North Carolina,93.8,40,3,5,37,10441499,10449652,10564320,10710793,10881189,8153,114668,146473,170396,164835,28675,116747,121588,121223,121281,25880,115533,118218,108857,108649,2795,1214,3370,12366,12632,683,9924,43024,57839,69792,8159,103202,99380,98981,82288,8842,113126,142404,156820,152080,-3484,328,699,1210,123,11.11136914,11.43006855,11.22851992,11.06214456,10.995826967,11.113266472,10.083094734,9.9099689505,0.1155421736,0.3168020776,1.1454251861,1.1521756094,0.9445144402,4.0445378598,5.3574516689,6.3657884839,9.8222268498,9.3423710605,9.1683107183,7.5055594161,10.76674129,13.38690892,14.525762387,13.8713479,11046024,NC,28,53819.16,139391,29,125920,0.9034,10,5201.25,13471,0.0966,48617.91
,States,2023-24,6754.0,100.0,*,,Census,MMR,Wyoming,93.5,40,4,8,56,576844,577681,579636,581978,585067,837,1955,2342,3089,2551,1584,6164,6122,6057,6037,1286,6170,6728,5706,5634,298,-6,-606,351,403,18,137,551,1037,1285,445,1809,2449,1741,861,463,1946,3000,2778,2146,76,15,-52,-40,2,10.652224067,10.540506571,10.380062465,10.296030051,10.662592876,11.583882426,9.7785432438,9.6087184538,-0.01036881,-1.043375855,0.6015192216,0.6873115969,0.2367544934,0.9486800262,1.7771379853,2.191551866,3.1261961934,4.2165469769,2.9836038885,1.4684250246,3.3629506868,5.1652270031,4.7607418737,3.6599768906,587618,WY,10,97813.01,253335,9,251470,0.9926,37,719.87,1864,0.0074,97093.14
,States,2023-24,137593.0,96.5,,,Census,MMR,Pennsylvania,93.5,40,1,2,42,13002909,12996143,13015571,12984990,13017721,-6766,19428,-30581,32731,61030,32903,130247,131688,129235,127571,40308,155702,155242,141059,136882,-7405,-25455,-23554,-11824,-9311,627,10198,37940,68035,82101,-3580,28184,-40405,-21730,-11500,-2953,38382,-2465,46305,70601,3592,6501,-4562,-1750,-260,10.014488088,10.129627588,9.9401173978,9.7768771196,11.971683219,11.941434648,10.849561032,10.490460166,-1.957195131,-1.811807061,-0.909443635,-0.713583047,0.7841082675,2.9183985684,5.2329159063,6.2921148882,2.1670236725,-3.108009862,-1.67136419,-0.881345187,2.95113194,-0.189611293,3.5615517167,5.410769701,13078751,PA,33,46054.34,119280,32,115883,0.9715,28,1311.64,3397,0.0285,44742.7
